80 456
-4.939393939393939e+00 5.000000000000000e+00 0.000000000000000e+00
-4.878787878787879e+00 5.000000000000000e+00 0.000000000000000e+00
-4.818181818181818e+00 5.000000000000000e+00 0.000000000000000e+00
-4.757575757575757e+00 5.000000000000000e+00 0.000000000000000e+00
-4.696969696969697e+00 5.000000000000000e+00 0.000000000000000e+00
-4.636363636363637e+00 5.000000000000000e+00 0.000000000000000e+00
-4.575757575757575e+00 5.000000000000000e+00 0.000000000000000e+00
-4.515151515151516e+00 5.000000000000000e+00 0.000000000000000e+00
-4.454545454545455e+00 5.000000000000000e+00 0.000000000000000e+00
-4.393939393939394e+00 5.000000000000000e+00 0.000000000000000e+00
-4.333333333333334e+00 5.000000000000000e+00 0.000000000000000e+00
-4.272727272727272e+00 5.000000000000000e+00 0.000000000000000e+00
-4.212121212121212e+00 5.000000000000000e+00 0.000000000000000e+00
-4.151515151515151e+00 4.999999999999999e+00 0.000000000000000e+00
-4.090909090909091e+00 5.000000000000000e+00 0.000000000000000e+00
-4.030303030303030e+00 5.000000000000000e+00 0.000000000000000e+00
-3.969696969696970e+00 5.000000000000000e+00 0.000000000000000e+00
-3.909090909090909e+00 5.000000000000000e+00 0.000000000000000e+00
-3.848484848484849e+00 5.000000000000000e+00 0.000000000000000e+00
-3.787878787878788e+00 5.000000000000000e+00 0.000000000000000e+00
-3.727272727272728e+00 5.000000000000000e+00 0.000000000000000e+00
-3.666666666666667e+00 5.000000000000000e+00 0.000000000000000e+00
-3.606060606060606e+00 5.000000000000000e+00 0.000000000000000e+00
-3.545454545454546e+00 5.000000000000000e+00 0.000000000000000e+00
-3.484848484848484e+00 5.000000000000000e+00 0.000000000000000e+00
-3.424242424242425e+00 5.000000000000000e+00 0.000000000000000e+00
-3.363636363636364e+00 5.000000000000000e+00 0.000000000000000e+00
-3.303030303030303e+00 5.000000000000000e+00 0.000000000000000e+00
-3.242424242424243e+00 5.000000000000000e+00 0.000000000000000e+00
-3.181818181818182e+00 5.000000000000000e+00 0.000000000000000e+00
-3.121212121212121e+00 5.000000000000000e+00 0.000000000000000e+00
-3.060606060606060e+00 5.000000000000000e+00 0.000000000000000e+00
-3.000000000000000e+00 5.000000000000000e+00 0.000000000000000e+00
-2.939393939393939e+00 5.000000000000000e+00 0.000000000000000e+00
-2.878787878787879e+00 5.000000000000000e+00 0.000000000000000e+00
-2.818181818181819e+00 5.000000000000000e+00 0.000000000000000e+00
-2.757575757575758e+00 5.000000000000000e+00 0.000000000000000e+00
-2.696969696969696e+00 5.000000000000000e+00 0.000000000000000e+00
-2.636363636363636e+00 5.000000000000000e+00 0.000000000000000e+00
-2.575757575757576e+00 5.000000000000000e+00 0.000000000000000e+00
-2.515151515151515e+00 5.000000000000000e+00 0.000000000000000e+00
-2.454545454545455e+00 5.000000000000000e+00 0.000000000000000e+00
-2.393939393939394e+00 5.000000000000000e+00 0.000000000000000e+00
-2.333333333333333e+00 5.000000000000000e+00 0.000000000000000e+00
-2.272727272727272e+00 5.000000000000000e+00 0.000000000000000e+00
-2.212121212121212e+00 5.000000000000000e+00 0.000000000000000e+00
-2.151515151515151e+00 5.000000000000000e+00 0.000000000000000e+00
-2.090909090909091e+00 5.000000000000000e+00 0.000000000000000e+00
